"TimeCreated","ProviderName","LevelDisplayName","Message"
"24-04-2026 12:33:25","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T07:03:25Z. Reason: RulesEngine."
"24-04-2026 12:32:55","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 12:26:36","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages."
"24-04-2026 12:26:36","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 15 keys and creating 3 modified pages."
"24-04-2026 12:26:36","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 8 keys and creating 1 modified pages."
"24-04-2026 12:09:12","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T06:39:12Z. Reason: RulesEngine."
"24-04-2026 12:08:41","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 12:00:00","EventLog","Information","The system uptime is 4636 seconds."
"24-04-2026 11:44:45","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T06:14:45Z. Reason: RulesEngine."
"24-04-2026 11:44:14","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 11:43:08","Windows Error Reporting","Information","Fault bucket 1969946123267091352, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: Grammarly.Desktop.exe
P2: 1.2.254.1880
P3: 10.0.26200.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Users\priya\AppData\Local\Temp\RDR3B86.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6c3ef7ae-457d-4180-ae37-3d9a1f3e1a35.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260421_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4aff9e2f-2542-4793-af26-9118cfd1d2f0.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2552582b-3857-4951-904d-987d927b389e.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b18e2df2-6a11-4d01-82dc-e83342449542.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.347e4984-5d97-4e6e-b2a6-1eb5040c100a.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.adf9946a-3352-4821-a8b1-46fd5fc6f156.tmp.xml

These files may be available here:
NULL

Analysis symbol: 
Rechecking for solution: 0
Report Id: 0a9aed30-3625-4f20-ac9b-575a8fae919c
Report Status: 268435456
Hashed bucket: 0ab30d045b2cac8c8b56a78fd7fe2b98
Cab Guid: 0"
"24-04-2026 11:42:41","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T06:12:41Z. Reason: RulesEngine."
"24-04-2026 11:42:19","Universal Print","Information","Initialization Successful. Enabled=false, CloudPrintSolution=Unknown, DiscoveryEndpoint=, OAuthAuthority=, OAuthClientId=, DiscoveryResourceId=, PrintResourceId="
"24-04-2026 11:42:19","Universal Print","Information","Device is neither AAD/Domain Joined or Workplace Joined."
"24-04-2026 11:42:11","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded."
"24-04-2026 11:41:53","BROWSER","Information","The browser has forced an election on network \Device\NetBT_Tcpip_{6A15308C-4FD7-436D-B83D-274F0695A949} because a master browser was stopped."
"24-04-2026 11:41:45","Microsoft-Windows-DistributedCOM","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Priyanshu\priya SID (S-1-5-21-1258550371-3975648611-2483462874-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"24-04-2026 11:37:05","Universal Print","Information","Initialization Successful. Enabled=false, CloudPrintSolution=Unknown, DiscoveryEndpoint=, OAuthAuthority=, OAuthClientId=, DiscoveryResourceId=, PrintResourceId="
"24-04-2026 11:37:05","Universal Print","Information","Device is neither AAD/Domain Joined or Workplace Joined."
"24-04-2026 11:32:58","NetBT","Error","The name ""WORKGROUP      :1d"" could not be registered on the interface with IP address 172.17.46.36. The computer with the IP address 172.17.44.247 did not allow the name to be claimed by this computer."
"24-04-2026 11:27:47","NetBT","Error","The name ""WORKGROUP      :1d"" could not be registered on the interface with IP address 172.17.46.36. The computer with the IP address 172.17.44.247 did not allow the name to be claimed by this computer."
"24-04-2026 11:22:35","NetBT","Error","The name ""WORKGROUP      :1d"" could not be registered on the interface with IP address 172.17.46.36. The computer with the IP address 172.17.44.247 did not allow the name to be claimed by this computer."
"24-04-2026 11:22:31","Universal Print","Information","Initialization Successful. Enabled=false, CloudPrintSolution=Unknown, DiscoveryEndpoint=, OAuthAuthority=, OAuthClientId=, DiscoveryResourceId=, PrintResourceId="
"24-04-2026 11:22:31","Universal Print","Information","Device is neither AAD/Domain Joined or Workplace Joined."
